,,,CoderGAMPSLimit,4,16,64,64,128,256,256,256,,233.77,107.78,50.9,31.73,15.57,10.07,7.38,4.97
NOAA-ADCP
,noaa-adcp-201501.csv
,,Vel
,,,CoderPCA,256,256,256,256,4,4,4,4,,68.41,68.41,68.41,68.41,65.7,60.5,54.84,44.57
,,,CoderAPCA,4,4,4,4,4,4,8,8,,77.66,74.65,67.15,61.78,49.14,41.63,35.57,26.27
,,,CoderCA,4,4,4,4,4,4,4,8,,79.08,77.98,75.21,72.78,66.11,60.69,56.0,48.39
,,,CoderPWLH,4,4,4,4,8,8,16,16,,186.05,182.1,171.95,163.89,138.97,119.62,102.39,76.64
,,,CoderPWLHInt,4,4,4,4,4,8,8,16,,73.47,73.08,70.34,67.48,60.13,52.08,45.41,34.47
,,,CoderFR,4,4,4,4,4,4,4,8,,76.59,76.01,74.43,72.96,68.34,64.1,60.05,50.96
,,,CoderSF,,,,,,,,,,613.58,593.54,545.88,508.76,418.52,356.78,305.9,229.06
,,,CoderGAMPSLimit,4,4,4,4,8,8,16,16,,365.15,350.95,315.61,290.21,229.79,188.94,158.3,113.09
,noaa-adcp-201502.csv
,,Vel
,,,CoderPCA,256,256,256,256,4,4,4,4,,67.34,67.34,67.34,67.34,64.6,59.55,53.98,43.94
,,,CoderAPCA,4,4,4,4,4,4,8,8,,76.54,73.87,66.67,61.09,48.74,41.26,35.52,26.39
,,,CoderCA,4,4,4,4,4,4,4,8,,77.9,76.96,74.2,71.76,65.38,60.06,55.67,48.36
,,,CoderPWLH,4,4,4,4,8,8,16,32,,183.44,180.02,170.01,161.78,138.17,119.31,102.71,77.75
,,,CoderPWLHInt,4,4,4,4,4,8,8,16,,72.36,72.04,69.3,66.5,59.46,51.7,45.33,34.84
,,,CoderFR,4,4,4,4,4,4,4,8,,75.4,74.89,73.3,71.8,67.35,63.14,59.41,50.61
,,,CoderSF,,,,,,,,,,606.42,588.75,541.17,504.55,416.36,354.45,306.06,232.12
,,,CoderGAMPSLimit,4,4,4,4,8,8,16,16,,360.4,347.77,313.83,287.44,228.6,188.13,158.78,114.55
,noaa-adcp-201503.csv
,,Vel
,,,CoderPCA,256,256,256,256,4,4,4,4,,68.83,68.83,68.83,68.83,64.9,58.69,52.49,42.08
,,,CoderAPCA,4,4,4,4,4,4,8,8,,78.25,74.95,66.57,60.36,47.48,39.85,33.69,25.18
,,,CoderCA,4,4,4,4,4,4,4,8,,79.61,78.39,75.07,72.2,64.96,58.96,54.36,46.22
,,,CoderPWLH,4,4,4,4,8,16,16,32,,187.17,182.75,171.04,161.63,134.23,113.46,96.93,72.16
,,,CoderPWLHInt,4,4,4,4,8,8,8,16,,73.96,73.43,69.8,66.47,58.1,49.57,43.42,32.83
,,,CoderFR,4,4,4,4,4,4,8,8,,77.05,76.42,74.54,72.68,67.5,62.65,58.17,48.68
,,,CoderSF,,,,,,,,,,617.36,595.07,538.74,498.04,403.94,339.15,291.32,217.23
,,,CoderGAMPSLimit,4,4,4,4,8,8,16,32,,367.62,352.08,312.62,283.44,220.25,178.18,148.98,106.93
SolarAnywhere
,solar-anywhere-2011.csv
,,GHI
,,,CoderPCA,4,4,4,4,4,4,4,4,,78.39,76.88,75.7,74.91,72.17,69.78,67.46,62.96
,,,CoderAPCA,4,8,16,16,16,16,16,16,,82.88,76.22,71.37,67.12,58.07,52.27,46.84,37.67
,,,CoderCA,8,8,16,16,16,16,16,16,,92.72,87.9,82.11,78.66,69.99,63.94,59.85,54.05
,,,CoderPWLH,16,16,16,16,16,16,16,16,,230.32,204.89,189.44,177.07,154.47,139.15,127.9,111.71
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,81.33,78.4,75.85,73.4,67.12,62.95,59.98,55.49
,,,CoderFR,4,8,8,8,8,8,8,8,,95.31,92.67,89.77,87.42,81.76,75.41,69.96,62.02
,,,CoderSF,,,,,,,,,,644.58,541.37,485.54,446.64,386.78,358.69,337.38,301.07
,,,CoderGAMPSLimit,16,16,16,16,16,16,16,32,,396.87,370.33,346.6,325.95,282.0,253.99,227.77,182.38
,,DNI
,,,CoderPCA,4,4,4,4,4,4,4,4,,76.03,74.38,72.76,71.61,69.56,68.0,65.99,61.87
,,,CoderAPCA,4,16,16,16,16,16,16,16,,78.59,72.13,65.7,61.25,53.9,48.79,43.61,35.79
,,,CoderCA,16,16,16,16,16,16,16,16,,88.68,84.66,80.09,77.16,71.34,67.44,64.53,59.62
,,,CoderPWLH,16,16,16,16,16,32,32,32,,215.53,199.81,186.88,178.0,163.94,153.15,142.05,122.14
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,76.11,73.96,72.29,70.73,67.18,64.18,61.65,57.47
,,,CoderFR,4,8,8,8,8,8,8,8,,93.23,90.19,87.0,84.66,80.32,77.27,74.42,68.91
,,,CoderSF,,,,,,,,,,608.52,534.6,494.3,464.61,413.55,385.78,365.45,333.21
,,,CoderGAMPSLimit,16,16,16,16,16,32,32,32,,382.72,350.31,319.06,297.47,261.82,236.33,210.08,170.48
,,DHI
,,,CoderPCA,4,4,4,4,4,4,4,4,,78.39,77.81,76.45,75.78,74.18,72.72,70.76,66.42
,,,CoderAPCA,4,4,16,16,16,16,16,16,,82.25,78.18,71.51,67.66,59.93,53.41,47.97,38.91
,,,CoderCA,8,8,8,16,16,16,16,16,,92.43,89.87,85.47,82.0,75.62,71.08,67.53,61.33
,,,CoderPWLH,16,16,16,16,16,16,16,16,,229.56,215.61,197.61,188.38,170.57,156.0,144.46,124.9
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,81.07,81.07,75.65,72.8,67.88,63.75,60.69,55.08
,,,CoderFR,4,4,8,8,8,8,8,8,,95.18,93.84,90.39,88.31,83.82,79.68,75.77,68.77
,,,CoderSF,,,,,,,,,,684.47,602.84,549.13,516.83,469.87,431.15,401.29,346.11
,,,CoderGAMPSLimit,16,16,16,16,16,16,16,16,,395.02,384.09,347.24,328.53,290.98,259.33,232.9,189.17
,solar-anywhere-2012.csv
,,GHI
,,,CoderPCA,4,4,4,4,4,4,4,4,,77.54,77.22,76.8,76.27,73.72,71.76,69.49,64.56
,,,CoderAPCA,4,8,16,16,16,16,16,16,,82.8,76.18,71.71,67.57,58.78,52.65,47.34,38.06
,,,CoderCA,8,16,16,16,16,16,16,16,,92.67,87.67,82.15,78.63,70.07,63.93,59.81,54.2
,,,CoderPWLH,16,16,16,16,16,16,16,16,,230.05,205.01,190.33,177.34,154.33,139.3,128.42,111.76
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,81.23,78.32,75.82,73.37,66.88,62.78,59.91,55.39
,,,CoderFR,4,8,8,8,8,8,8,8,,94.95,93.76,91.35,89.26,84.11,77.54,71.84,63.52
,,,CoderSF,,,,,,,,,,644.17,542.34,488.17,446.31,384.67,358.59,335.81,302.05
,,,CoderGAMPSLimit,16,16,16,16,16,16,16,32,,396.3,370.19,348.26,328.18,285.47,255.74,230.08,184.78
,,DNI
,,,CoderPCA,4,4,4,4,4,4,4,4,,76.0,74.6,73.38,72.27,70.71,69.18,67.23,62.73
,,,CoderAPCA,4,16,16,16,16,16,16,16,,79.01,71.99,65.41,61.02,53.78,48.44,43.45,35.73
,,,CoderCA,16,16,16,16,16,16,16,16,,89.11,84.89,80.07,76.9,70.95,66.93,64.03,59.29
,,,CoderPWLH,16,16,16,16,32,32,32,32,,216.47,199.93,186.57,177.52,162.6,151.72,140.7,121.27
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,76.44,74.13,72.34,70.54,66.69,63.93,61.41,57.15
,,,CoderFR,4,8,8,8,8,8,8,8,,93.55,91.29,87.45,84.71,80.08,77.08,74.12,68.79
,,,CoderSF,,,,,,,,,,615.84,537.69,494.0,461.81,409.78,381.57,362.03,328.17
,,,CoderGAMPSLimit,16,16,16,16,16,32,32,32,,384.87,349.7,317.76,296.4,261.32,234.6,209.36,169.97
,,DHI
,,,CoderPCA,4,4,4,4,4,4,4,4,,77.54,77.49,76.89,76.25,75.05,73.81,71.55,67.31
,,,CoderAPCA,4,4,16,16,16,16,16,16,,82.22,78.26,71.7,67.61,60.36,53.78,47.63,38.7
,,,CoderCA,8,8,8,16,16,16,16,16,,92.37,89.79,85.52,81.65,75.1,70.43,66.55,60.58
,,,CoderPWLH,16,16,16,16,16,16,16,16,,229.27,215.23,197.13,187.16,169.81,154.95,142.02,123.69
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,80.96,80.96,75.69,72.89,67.93,63.81,60.38,55.05
,,,CoderFR,4,4,8,8,8,8,8,8,,94.84,93.98,91.29,89.24,84.85,80.83,76.66,70.21
,,,CoderSF,,,,,,,,,,682.13,602.55,548.17,515.04,466.05,426.82,392.9,342.74
,,,CoderGAMPSLimit,16,16,16,16,16,16,16,16,,394.75,384.74,348.21,328.37,293.11,261.19,231.3,188.22
,solar-anywhere-2013.csv
,,GHI
,,,CoderPCA,4,4,4,4,4,4,4,4,,77.38,76.01,75.2,74.45,72.3,70.07,67.92,64.25
,,,CoderAPCA,4,8,16,16,16,16,16,16,,82.53,76.04,71.56,67.35,58.95,52.58,47.06,37.9
,,,CoderCA,8,16,16,16,16,16,16,16,,92.38,87.68,81.94,78.61,70.58,64.76,60.61,54.57
,,,CoderPWLH,16,16,16,16,16,16,16,16,,229.03,204.59,189.95,177.7,156.29,140.83,129.59,112.99
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,80.88,78.14,75.73,73.1,67.2,63.08,60.23,55.84
,,,CoderFR,4,8,8,8,8,8,8,8,,94.15,91.1,89.15,87.11,81.87,75.81,70.49,62.84
,,,CoderSF,,,,,,,,,,646.26,546.17,493.12,450.86,392.33,363.13,340.25,305.3
,,,CoderGAMPSLimit,16,16,16,16,16,16,16,32,,395.89,369.43,347.45,327.0,286.19,255.31,228.61,184.13
,,DNI
,,,CoderPCA,4,4,4,4,4,4,4,4,,75.91,74.14,72.38,71.0,69.44,67.85,65.87,62.12
,,,CoderAPCA,4,16,16,16,16,16,16,16,,78.98,72.38,66.02,61.61,54.39,48.83,43.73,35.86
,,,CoderCA,16,16,16,16,16,16,16,16,,89.09,85.3,80.49,77.4,72.23,68.26,65.17,59.97
,,,CoderPWLH,16,16,16,16,16,32,32,32,,216.44,200.61,187.65,179.32,165.21,153.58,142.44,123.01
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,76.44,74.43,72.64,71.08,67.75,64.68,62.16,57.63
,,,CoderFR,4,8,8,8,8,8,8,8,,92.71,89.17,86.47,84.56,80.81,77.64,74.48,68.7
,,,CoderSF,,,,,,,,,,616.2,542.45,503.06,473.75,422.37,390.01,367.94,332.13
,,,CoderGAMPSLimit,16,16,16,16,16,32,32,32,,385.85,351.46,320.56,299.21,264.19,236.6,210.74,170.62
,,DHI
,,,CoderPCA,4,4,4,4,4,4,4,4,,77.38,77.25,75.66,74.84,73.68,72.31,70.59,66.66
,,,CoderAPCA,4,4,16,16,16,16,16,16,,82.09,78.38,72.1,68.19,60.44,54.16,48.35,38.94
,,,CoderCA,8,8,8,16,16,16,16,16,,92.19,89.92,85.55,81.73,74.89,70.6,66.64,60.41
,,,CoderPWLH,16,16,16,16,16,16,16,16,,228.43,215.39,197.16,187.59,168.86,154.45,142.24,123.38
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,80.67,80.67,75.73,73.0,67.5,63.32,59.75,54.41
,,,CoderFR,4,8,8,8,8,8,8,8,,94.05,92.57,89.21,87.48,83.07,79.29,75.11,67.42
,,,CoderSF,,,,,,,,,,676.33,601.37,549.48,515.74,458.03,419.71,388.33,337.41
,,,CoderGAMPSLimit,16,16,16,16,16,16,16,16,,395.87,385.1,350.04,331.05,293.43,262.94,234.7,189.28
,solar-anywhere-2014.csv
,,GHI
,,,CoderPCA,4,4,4,4,4,4,4,4,,77.31,75.93,74.9,74.17,72.23,70.09,68.17,64.24
,,,CoderAPCA,4,8,16,16,16,16,16,16,,82.34,75.97,70.94,66.76,58.28,52.13,46.87,37.48
,,,CoderCA,8,16,16,16,16,16,16,16,,92.15,87.49,81.79,78.41,69.56,63.45,59.37,53.41
,,,CoderPWLH,16,16,16,16,16,16,16,16,,228.13,204.47,189.69,176.77,153.02,138.0,126.84,109.83
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,80.58,78.21,75.69,73.17,66.69,62.51,59.38,54.76
,,,CoderFR,4,4,4,8,8,8,8,8,,94.04,91.47,89.33,87.37,80.38,73.72,69.61,63.18
,,,CoderSF,,,,,,,,,,636.07,538.15,483.13,444.1,381.51,353.57,333.17,295.75
,,,CoderGAMPSLimit,16,16,16,16,16,16,16,32,,393.51,368.92,344.36,324.06,282.9,253.11,227.78,181.41
,,DNI
,,,CoderPCA,4,4,4,4,4,4,4,4,,75.76,74.29,72.48,71.09,69.45,67.69,65.49,61.78
,,,CoderAPCA,4,16,16,16,16,16,16,16,,79.05,72.39,65.87,61.61,53.85,48.13,42.66,35.25
,,,CoderCA,8,16,16,16,16,16,16,16,,89.25,85.46,80.61,77.62,71.78,67.62,64.46,59.01
,,,CoderPWLH,16,16,16,16,16,32,32,32,,216.86,201.12,187.49,179.28,164.21,152.06,140.29,120.67
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,76.6,74.65,72.93,71.08,67.21,64.14,61.35,56.62
,,,CoderFR,4,4,8,8,8,8,8,8,,92.56,90.47,88.05,85.07,80.69,76.71,72.78,66.64
,,,CoderSF,,,,,,,,,,614.86,540.21,497.07,467.02,411.56,380.87,360.63,327.77
,,,CoderGAMPSLimit,16,16,16,16,16,32,32,32,,385.9,351.46,319.79,299.12,261.42,233.38,205.71,168.09
,,DHI
,,,CoderPCA,4,4,4,4,4,4,4,4,,77.31,77.18,75.43,74.45,73.03,71.73,70.05,66.32
,,,CoderAPCA,4,4,16,16,16,16,16,16,,81.7,77.83,71.19,66.95,59.74,53.13,47.49,38.3
,,,CoderCA,8,8,16,16,16,16,16,16,,91.87,89.47,85.05,81.27,74.54,70.11,65.92,59.74
,,,CoderPWLH,16,16,16,16,16,16,16,16,,227.23,214.28,195.64,185.69,168.04,153.25,140.9,121.7
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,80.26,80.26,75.21,72.43,67.46,63.1,59.48,53.9
,,,CoderFR,4,4,4,4,4,8,8,8,,93.89,92.53,90.02,87.94,85.1,81.19,76.38,68.52
,,,CoderSF,,,,,,,,,,671.87,595.74,541.25,507.55,457.31,420.56,388.24,335.98
,,,CoderGAMPSLimit,16,16,16,16,16,16,16,16,,392.19,381.46,345.57,324.96,289.97,257.83,230.45,186.09
ElNino
,el-nino.csv
,,Lat
,,,CoderPCA,4,=,4,4,4,4,8,8,,25.05,=,24.89,24.09,20.79,18.06,15.94,12.17
,,,CoderAPCA,16,=,16,16,16,32,32,64,,15.96,=,15.82,15.11,12.34,9.89,8.61,5.76
,,,CoderCA,8,=,8,16,16,32,32,64,,25.85,=,25.72,24.9,21.41,18.2,16.29,12.31
,,,CoderPWLH,32,=,32,32,64,128,128,256,,57.94,=,57.41,54.79,43.24,33.39,28.42,18.47
,,,CoderPWLHInt,16,=,16,16,16,16,32,32,,22.54,=,22.54,22.54,22.36,21.43,19.56,16.98
,,,CoderFR,8,=,8,8,16,16,32,64,,29.15,=,29.0,28.16,24.19,20.19,17.92,13.25
,,,CoderSF,,=,,,,,,,,203.87,=,201.76,191.54,148.25,112.95,95.2,60.95
,,,CoderGAMPSLimit,32,=,32,32,64,128,128,256,,71.07,=,70.42,66.97,52.77,41.02,34.93,22.43
,,Long
,,,CoderPCA,4,4,4,4,8,8,8,8,,27.24,26.83,21.87,20.44,16.42,13.59,11.33,8.13
,,,CoderAPCA,8,16,16,32,64,64,128,256,,17.36,17.05,13.04,11.75,8.65,6.56,4.93,2.37
,,,CoderCA,8,8,16,16,32,64,64,128,,27.11,26.74,21.77,19.99,15.31,12.43,10.02,6.54
,,,CoderPWLH,32,32,64,64,128,256,256,256,,46.53,45.56,33.9,30.22,21.48,16.19,11.97,5.8
,,,CoderPWLHInt,16,16,16,16,64,64,64,128,,24.69,24.48,24.23,22.43,17.74,15.92,14.12,11.41
,,,CoderFR,8,8,16,16,32,64,64,128,,30.15,29.72,24.03,21.95,16.56,13.34,10.59,6.71
,,,CoderSF,,,,,,,,,,162.39,158.72,115.15,101.98,71.41,53.11,38.83,17.9
,,,CoderGAMPSLimit,16,32,64,64,128,256,256,256,,58.9,57.74,42.82,38.08,27.16,20.28,14.91,6.93
,,Zonal Winds
,,,CoderPCA,256,=,256,256,256,4,4,4,,31.46,=,31.46,31.46,31.46,30.82,29.48,25.92
,,,CoderAPCA,4,=,4,4,4,4,4,8,,37.11,=,33.25,31.56,27.36,23.5,20.54,16.44
,,,CoderCA,4,=,4,4,4,4,4,4,,37.89,=,36.41,35.7,33.8,31.71,29.78,26.57
,,,CoderPWLH,4,=,4,4,4,8,8,16,,112.34,=,105.59,102.45,94.09,83.71,74.4,59.36
,,,CoderPWLHInt,4,=,4,4,4,4,8,8,,34.51,=,34.51,33.76,31.12,28.38,26.04,20.98
,,,CoderFR,4,=,4,4,4,4,4,4,,36.37,=,35.57,35.17,33.96,32.53,31.08,28.41
,,,CoderSF,,=,,,,,,,,360.18,=,326.17,311.61,275.9,243.11,216.53,175.22
,,,CoderGAMPSLimit,4,=,4,4,4,8,8,8,,219.34,=,196.14,186.04,160.98,137.59,117.6,89.15
,,Merid. Winds
,,,CoderPCA,256,=,256,256,256,4,4,4,,31.46,=,31.46,31.46,31.46,31.38,30.6,28.19
,,,CoderAPCA,4,=,4,4,4,4,4,4,,37.29,=,34.1,33.16,29.16,25.86,23.33,19.15
,,,CoderCA,4,=,4,4,4,4,4,4,,37.96,=,36.86,36.54,34.89,33.29,31.91,29.14
,,,CoderPWLH,4,=,4,4,4,8,8,8,,112.53,=,107.37,105.83,98.63,91.62,84.67,71.01
,,,CoderPWLHInt,4,=,4,4,4,4,4,8,,34.57,=,34.57,34.31,32.14,30.04,28.33,24.5
,,,CoderFR,4,=,4,4,4,4,4,4,,36.41,=,35.81,35.61,34.66,33.61,32.63,30.49
